df_moo_index,hp_x0,hp_x1,hp_x2,hp_x3,hp_x4,hp_x5,metric_valid_error,metric_train_error,metric_runtime,metric_elapsed_time,metric_latency,metric_flops,metric_params,pred_metric_flops,pred_metric_latency,pred_metric_runtime,pred_metric_valid_error
13777,none,skip_connect,avg_pool_3x3,nor_conv_3x3,avg_pool_3x3,skip_connect,0.0801,0.00188,15.067452,3013.4893,0.012152933,43.17249,0.316346,43.32777644839186,0.012345133463739137,15.45038805025199,0.07980403
8988,skip_connect,none,nor_conv_3x3,none,skip_connect,nor_conv_1x1,0.065,0.00108,15.562217,3112.448,0.015668588,47.10465,0.344346,45.6970327688112,0.015155931198533413,15.43352799979476,0.07102772
12197,nor_conv_1x1,none,skip_connect,skip_connect,none,skip_connect,0.1104,0.03488,10.586193,2117.2368,0.012347959,11.71521,0.101306,11.723087014594395,0.01230896837801441,10.463289037321776,0.10352724
8913,skip_connect,none,nor_conv_3x3,nor_conv_3x3,skip_connect,nor_conv_1x1,0.0654,0.00062,19.948042,3989.6023,0.017419444,82.49409,0.587386,75.54998664578196,0.017224984399330807,20.071415769180728,0.06482305
8097,skip_connect,skip_connect,none,nor_conv_1x1,none,skip_connect,0.1075,0.03592,10.732709,2146.538,0.012553158,11.71521,0.101306,11.88571079080791,0.01226641466108758,10.414926105648501,0.099223286
3694,nor_conv_3x3,avg_pool_3x3,none,skip_connect,nor_conv_1x1,none,0.0698,0.00118,17.143152,3428.625,0.014781671,47.10465,0.344346,46.692649768997946,0.015606786827460075,17.574490404139834,0.06956683
7862,skip_connect,skip_connect,skip_connect,none,skip_connect,skip_connect,0.3005,0.29078,6.656083,1331.218,0.008865197,7.78305,0.073306,7.448680888003264,0.008646862179567557,6.413090162853682,0.29699257
5193,nor_conv_3x3,nor_conv_1x1,nor_conv_3x3,skip_connect,nor_conv_1x1,nor_conv_1x1,0.0561,0.00028,28.325249,5665.0415,0.020770688,90.35841,0.643386,90.56878142733129,0.021276119573913583,27.617492273422073,0.058174282
10929,nor_conv_1x1,skip_connect,skip_connect,skip_connect,avg_pool_3x3,none,0.1039,0.02522,12.089252,2417.8513,0.012009244,11.71521,0.101306,11.133382019897825,0.012150798275527293,12.079434746228266,0.10000193
4316,nor_conv_3x3,nor_conv_3x3,none,skip_connect,nor_conv_1x1,nor_conv_3x3,0.0581,0.0002,25.620287,5124.055,0.01915424,117.88353,0.830426,116.97997068890881,0.01945527577001761,25.039255904617942,0.059094656
15570,none,none,none,skip_connect,none,avg_pool_3x3,0.1403,0.10174,9.395911,1879.1798,0.0098017575,7.78305,0.073306,7.794598352603544,0.010317781617328367,9.385743040867892,0.12997639
9339,skip_connect,none,none,nor_conv_1x1,skip_connect,none,0.108349994,0.03458,10.074421,2014.8876,0.013859016,11.71521,0.101306,11.659531186126799,0.012831679533715891,10.837009436742454,0.104912564
13687,none,nor_conv_3x3,none,skip_connect,skip_connect,skip_connect,0.0815,0.00224,11.606982,2321.3918,0.012216844,43.17249,0.316346,42.91353545111896,0.012471687863560463,11.56131555525382,0.07791971
5806,nor_conv_3x3,none,nor_conv_3x3,skip_connect,nor_conv_3x3,nor_conv_3x3,0.05895,0.00018999999,26.89701,5379.3965,0.019712403,149.3408,1.045466,150.01226165114358,0.019453542478245593,26.417735286221458,0.057080247
7867,skip_connect,skip_connect,skip_connect,none,nor_conv_1x1,skip_connect,0.1237,0.08732,10.305098,2061.0159,0.0113023035,11.71521,0.101306,11.551481212362837,0.011856966508600521,10.136052614394181,0.12349732
10687,nor_conv_1x1,skip_connect,avg_pool_3x3,skip_connect,skip_connect,skip_connect,0.1325,0.09854,11.655317,2331.059,0.011820537,11.71521,0.101306,11.608445244323638,0.011635335410777709,11.753044315823972,0.12191947
12437,nor_conv_1x1,none,none,skip_connect,skip_connect,skip_connect,0.1011,0.03696,10.631346,2126.2693,0.012293416,11.71521,0.101306,11.69086510774857,0.012347831781250474,10.48866682138075,0.10266806
3816,nor_conv_3x3,nor_conv_3x3,avg_pool_3x3,skip_connect,nor_conv_1x1,nor_conv_3x3,0.0588,0.00024,26.784033,5356.8076,0.02042889,117.88353,0.830426,116.8223413275466,0.019148723943478704,27.292182985296307,0.059483677
6192,nor_conv_3x3,none,none,skip_connect,nor_conv_1x1,skip_connect,0.0693,0.00072,15.571502,3114.3035,0.01562595,47.10465,0.344346,46.988396858572344,0.01523240052065843,15.483618215591862,0.068500675
319,avg_pool_3x3,avg_pool_3x3,skip_connect,skip_connect,nor_conv_1x1,none,0.1159,0.03724,14.974063,2994.82,0.012738101,11.71521,0.101306,10.688302407912131,0.012499633864478192,14.605062601129893,0.11213889
15552,none,none,none,skip_connect,avg_pool_3x3,skip_connect,0.1313,0.09892,8.820506,1764.1046,0.010042145,7.78305,0.073306,7.799221866302352,0.00990802050614657,8.872271381309229,0.12715504
8057,skip_connect,skip_connect,none,skip_connect,nor_conv_3x3,skip_connect,0.118,0.05642,11.163359,2232.6675,0.01214696,43.17249,0.316346,43.44019719646265,0.011899447681713441,11.322021152566892,0.11511977
5808,nor_conv_3x3,none,nor_conv_3x3,skip_connect,nor_conv_3x3,nor_conv_1x1,0.060599998,0.00026,24.77172,4954.337,0.018185468,117.88353,0.830426,117.89712829844619,0.019581833513212993,25.322719505431337,0.058190826
9087,skip_connect,none,skip_connect,nor_conv_1x1,skip_connect,skip_connect,0.1246,0.08962,10.175972,2035.1991,0.012084472,11.71521,0.101306,11.229206568713238,0.011837268640373606,10.069011868667618,0.12601171
5690,nor_conv_3x3,none,avg_pool_3x3,skip_connect,nor_conv_1x1,avg_pool_3x3,0.0708,0.00096,19.30182,3860.3613,0.015028343,47.10465,0.344346,47.05437240236499,0.01510434939011595,19.034718970896208,0.06910795
1823,avg_pool_3x3,skip_connect,none,skip_connect,none,nor_conv_1x1,0.104,0.03384,12.557803,2511.5674,0.012598756,11.71521,0.101306,11.857209096756096,0.012712898768062135,12.753294660073884,0.091554746
15564,none,none,none,skip_connect,skip_connect,none,0.1345,0.09652,7.489979,1497.9976,0.010138995,7.78305,0.073306,7.636354168325867,0.01026483374584204,7.457691777171847,0.12999278
4602,nor_conv_3x3,skip_connect,nor_conv_3x3,none,avg_pool_3x3,skip_connect,0.0676,0.0003,17.97425,3594.8594,0.015385722,78.56193,0.559386,78.58462502457108,0.014931744482627903,18.467421108966654,0.063186206
1196,avg_pool_3x3,nor_conv_3x3,none,skip_connect,none,nor_conv_3x3,0.0658,0.00034,18.744856,3748.9739,0.015951749,78.56193,0.559386,77.68790790041876,0.0154492065183157,18.92445346801273,0.06042583
14112,none,skip_connect,skip_connect,none,skip_connect,skip_connect,0.133,0.1007,6.859967,1371.9954,0.00886555,7.78305,0.073306,7.139874850335474,0.009179107929574565,6.699505483576501,0.14175005
13039,none,avg_pool_3x3,none,nor_conv_3x3,skip_connect,none,0.0794,0.00256,14.107776,2821.5505,0.0125479195,43.17249,0.316346,41.41230911106694,0.013165227121824557,14.31688123126973,0.08025708
7861,skip_connect,skip_connect,skip_connect,none,skip_connect,nor_conv_3x3,0.0828,0.00208,11.456279,2291.2585,0.012289502,43.17249,0.316346,43.86155197494099,0.011979063501611523,11.34706939348353,0.0821497
1289,avg_pool_3x3,skip_connect,avg_pool_3x3,nor_conv_3x3,skip_connect,none,0.0874,0.00412,15.155699,3031.14,0.012517206,43.17249,0.316346,41.646471954400766,0.012457651765470654,15.562327717614135,0.084630296
6814,skip_connect,avg_pool_3x3,none,skip_connect,skip_connect,none,0.1598,0.13679999,8.993448,1798.6871,0.009797282,7.78305,0.073306,6.64146877988891,0.00955774662996359,8.885850832115763,0.1637563
15302,none,none,skip_connect,skip_connect,avg_pool_3x3,skip_connect,0.137,0.10204,8.572559,1714.5088,0.009173111,7.78305,0.073306,7.754931529364806,0.009468507690462029,8.570981818387223,0.13726646
2819,avg_pool_3x3,none,skip_connect,skip_connect,nor_conv_1x1,none,0.1153,0.03444,12.719957,2543.9937,0.012624644,11.71521,0.101306,10.924570479788157,0.012776367579947734,12.901100344213571,0.10926311
8021,skip_connect,skip_connect,none,avg_pool_3x3,none,nor_conv_3x3,0.0893,0.00294,13.32948,2665.8997,0.0130385365,43.17249,0.316346,42.93362755400092,0.012753633755880655,13.620540807384048,0.07610767
6561,skip_connect,avg_pool_3x3,skip_connect,skip_connect,skip_connect,nor_conv_3x3,0.1155,0.05666,13.382053,2676.4148,0.011866789,43.17249,0.316346,43.41853743098956,0.011787653373944428,13.452054513535856,0.10925033
12312,nor_conv_1x1,none,nor_conv_1x1,skip_connect,skip_connect,skip_connect,0.096,0.01982,14.239122,2847.82,0.014177758,15.64737,0.129306,15.539528907496358,0.0146906272458522,13.924190508964747,0.09115036
14077,none,skip_connect,skip_connect,nor_conv_1x1,avg_pool_3x3,skip_connect,0.1051,0.03542,12.142124,2428.4219,0.012333622,11.71521,0.101306,11.676466479279329,0.01211114746720487,12.136541574799768,0.10517579
5569,nor_conv_3x3,nor_conv_1x1,none,skip_connect,nor_conv_1x1,none,0.069,0.00086,19.713697,3942.7344,0.017681781,51.03681,0.372346,50.95698430441665,0.0178608462146489,19.333164943080476,0.066080734
4306,nor_conv_3x3,nor_conv_3x3,none,skip_connect,nor_conv_3x3,nor_conv_3x3,0.0575,0.00026,26.289526,5257.909,0.019049311,149.3408,1.045466,149.59570939911615,0.01922898720808283,26.36662845217802,0.05876988
6180,nor_conv_3x3,none,none,skip_connect,nor_conv_3x3,avg_pool_3x3,0.0631,0.00022,18.37305,3674.6096,0.01393555,78.56193,0.559386,78.37578506863753,0.015248530626876063,18.738525396493735,0.06330576
7747,skip_connect,skip_connect,nor_conv_3x3,none,none,skip_connect,0.0785,0.00208,11.55251,2310.4993,0.01239958,43.17249,0.316346,43.653960617351395,0.012320156008181878,11.668250798811153,0.073864885
4196,nor_conv_3x3,nor_conv_3x3,nor_conv_1x1,skip_connect,none,nor_conv_3x3,0.05955,0.00024,25.057447,5011.491,0.018211946,117.88353,0.830426,117.05448596222259,0.019560350407444936,25.361737250645167,0.058339454
4312,nor_conv_3x3,nor_conv_3x3,none,skip_connect,skip_connect,skip_connect,0.0793,0.00208,16.124214,3224.8496,0.014412529,78.56193,0.559386,78.50597419394502,0.014843544840224529,16.212119379375647,0.07368424
13186,none,nor_conv_3x3,avg_pool_3x3,skip_connect,skip_connect,nor_conv_3x3,0.0624,0.00026,19.205378,3841.0676,0.015109257,78.56193,0.559386,78.39484599823662,0.0151277436911791,18.748907219042724,0.0634765
5928,nor_conv_3x3,none,skip_connect,skip_connect,avg_pool_3x3,nor_conv_1x1,0.0676,0.00086,16.352058,3270.4104,0.014764606,47.10465,0.344346,46.63953343504843,0.014979087898333378,17.032331427457358,0.072673306
12799,none,avg_pool_3x3,skip_connect,nor_conv_3x3,none,none,0.077,0.00232,14.084322,2816.8623,0.013015819,43.17249,0.316346,42.67913869871107,0.013153900070815239,14.256334129537903,0.0790761
5947,nor_conv_3x3,none,skip_connect,skip_connect,none,skip_connect,0.0839,0.00194,11.507741,2301.546,0.0125063285,43.17249,0.316346,42.59434375263168,0.012423730511649887,11.666913034583478,0.08504286
299,avg_pool_3x3,avg_pool_3x3,skip_connect,nor_conv_3x3,none,none,0.0817,0.00262,16.382965,3276.597,0.012935633,43.17249,0.316346,42.89347210754804,0.012966629019650061,16.22111501659077,0.07896154
12320,nor_conv_1x1,none,nor_conv_1x1,skip_connect,none,avg_pool_3x3,0.0907,0.00576,16.270695,3254.1465,0.014983086,15.64737,0.129306,15.679081771147729,0.015412974004695424,16.261349398386095,0.09109822
6488,skip_connect,avg_pool_3x3,nor_conv_3x3,none,skip_connect,nor_conv_1x1,0.0733,0.00122,17.747644,3549.5232,0.015510666,47.10465,0.344346,46.78696071553908,0.015086935441564617,17.328976268516314,0.071464494
14074,none,skip_connect,skip_connect,skip_connect,none,none,0.1365,0.1007,7.1500154,1430.0044,0.009455101,7.78305,0.073306,6.9440801627945214,0.009560907152296377,7.15103183243705,0.13727155
9679,nor_conv_1x1,avg_pool_3x3,skip_connect,skip_connect,avg_pool_3x3,none,0.102850005,0.02474,14.465766,2893.1597,0.0120368665,11.71521,0.101306,11.075868246442063,0.012406911972155175,14.333191327983055,0.10182543
4746,nor_conv_3x3,skip_connect,skip_connect,none,none,nor_conv_3x3,0.0736,0.00124,16.928768,3385.7458,0.014082336,78.56193,0.559386,77.93444747625287,0.015137034365778854,16.59993952538665,0.06979604
12814,none,avg_pool_3x3,skip_connect,skip_connect,skip_connect,none,0.1335,0.10356,8.806635,1761.328,0.009595391,7.78305,0.073306,8.995116557100967,0.009566752714291688,8.884689973421075,0.13278025
11441,nor_conv_1x1,nor_conv_1x1,nor_conv_3x3,skip_connect,nor_conv_1x1,nor_conv_3x3,0.0574,0.00018,28.148167,5629.6245,0.021333348,90.35841,0.643386,90.15271601498665,0.021274827475432193,27.55740855727458,0.059503715
3443,nor_conv_3x3,avg_pool_3x3,skip_connect,skip_connect,nor_conv_1x1,nor_conv_1x1,0.0646,0.00068,21.37952,4275.914,0.016642844,51.03681,0.372346,50.42086931559015,0.017142523297186626,20.96714120626927,0.06701738
12310,nor_conv_1x1,none,nor_conv_1x1,skip_connect,skip_connect,avg_pool_3x3,0.095699996,0.00877,16.11182,3222.3635,0.014468541,15.64737,0.129306,15.867979503276404,0.014998386609174462,15.943064961996788,0.08988644
5987,nor_conv_3x3,none,skip_connect,none,skip_connect,skip_connect,0.0802,0.00172,11.470415,2294.0874,0.012840939,43.17249,0.316346,45.24671824888133,0.012274306843573198,11.700617961837812,0.07848638
10553,nor_conv_1x1,nor_conv_3x3,none,skip_connect,avg_pool_3x3,nor_conv_1x1,0.0681,0.00086,20.8402,4168.0303,0.016523832,51.03681,0.372346,51.283303768864634,0.017455186627952965,21.017044767959337,0.06440302
14287,none,skip_connect,none,nor_conv_3x3,skip_connect,skip_connect,0.0824,0.00258,11.645921,2329.1829,0.012524605,43.17249,0.316346,43.35260942047761,0.012291162736491461,11.592811146970826,0.08182339
12804,none,avg_pool_3x3,skip_connect,skip_connect,avg_pool_3x3,none,0.1345,0.09652,10.728429,2145.6843,0.009876314,7.78305,0.073306,6.829770829621776,0.009703417901905547,10.84371499321396,0.13649611
15312,none,none,skip_connect,skip_connect,skip_connect,skip_connect,0.133,0.1007,6.805175,1361.035,0.009235933,7.78305,0.073306,6.8846512679991,0.009219214064819719,6.794855069875522,0.13904658
7697,skip_connect,skip_connect,nor_conv_3x3,skip_connect,none,skip_connect,0.1171,0.05694,11.002837,2200.5647,0.012072604,43.17249,0.316346,43.40587453574419,0.011807614589214036,11.296697532623927,0.1181195
3194,nor_conv_3x3,avg_pool_3x3,avg_pool_3x3,skip_connect,nor_conv_1x1,none,0.0681,0.00054,19.951382,3990.2808,0.015636599,47.10465,0.344346,46.63541825291981,0.015316587704941187,19.449657878988862,0.06955149
7196,skip_connect,nor_conv_3x3,skip_connect,skip_connect,none,nor_conv_3x3,0.0651,0.0003,16.532537,3306.5056,0.015319853,78.56193,0.559386,78.85351736229765,0.0147430984696989,16.309221941282612,0.0687914
4837,nor_conv_3x3,skip_connect,nor_conv_1x1,nor_conv_1x1,skip_connect,skip_connect,0.0725,0.00094,18.82185,3764.3655,0.017070042,51.03681,0.372346,50.70682875561582,0.016812873105413746,18.579294303443167,0.06619241
8089,skip_connect,skip_connect,none,nor_conv_1x1,skip_connect,none,0.1054,0.03512,9.799129,1959.8207,0.012261916,11.71521,0.101306,11.593440183715996,0.012370472521020246,10.530900631605626,0.10582332
946,avg_pool_3x3,nor_conv_3x3,skip_connect,skip_connect,none,nor_conv_3x3,0.0669,0.00056,18.513908,3702.783,0.015035695,78.56193,0.559386,77.97092812095428,0.014968751931803338,18.653099781079547,0.06986563
14676,none,nor_conv_1x1,skip_connect,skip_connect,avg_pool_3x3,nor_conv_3x3,0.0719,0.00114,17.333015,3466.6018,0.015737355,47.10465,0.344346,47.33553882687987,0.014958074171588825,17.20179305388548,0.07144625
5933,nor_conv_3x3,none,skip_connect,skip_connect,nor_conv_3x3,nor_conv_1x1,0.0671,0.00042,20.416721,4083.3489,0.016696882,82.49409,0.587386,82.09280588903333,0.017331941901587752,19.93128945013457,0.060113356
6184,nor_conv_3x3,none,none,skip_connect,nor_conv_3x3,none,0.06305,0.00031,16.90062,3380.1267,0.015994988,78.56193,0.559386,77.71436347109265,0.015715335716560565,16.962641243025697,0.061276287
